,ster1,ster2,ster3,polarxx,polarxy,polaryy,polarzx,polaryz,polarzz,mean_polar,HOMO,LUMO,biggest distance,major_axis,Axis_2,Axis_3,Vbur75,old_name
S18,6.98,1.72,5.69,240.265,-0.979,194.39,4.429,-4.209,111.506,182.05,-0.25767,-0.02612,9.66621643400281,9.625435,7.101169,3.324899,10.6898981341512,c1cccc2ccccc12
S20,8.98,1.7,4.42,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,10.6941209998869,c2ccc1ccccc1c2
S7,11.18,2.57,4.44,425.236,-0.002,276.768,0,-5.641,156.253,286.09,-0.25296,-0.01566,13.7679069407114,13.573238,6.685649,3.459785,15.0146225562612,Cc1cc(C)c2CCc4cccc3CCc1c2c34
S22,11.15,1.7,4.49,398.67,-3.093,216.418,1.097,3.542,119.968,245.02,-0.2624,-0.02488,13.5419959841396,13.534199,5.547484,2.268856,7.76716575469507,c3ccc2ccc1ccccc1c2c3
S25,11.14,1.71,6.95,422.469,9.186,311.368,-3.148,7.701,139.907,291.25,-0.26157,-0.02659,13.5346441608438,13.306225,8.696297,2.621104,8.57903704192562,c4ccc3c1ccccc1c2ccccc2c3c4
S10,7.9,2,4.45,249.402,-0.096,172.398,-0.344,7.423,107.554,176.45,-0.26787,-0.00013,10.1376676210187,10.086695,6.637015,2.477484,10.4712428148505,Cc1cccc(C)c1C
S6,6.84,2.44,5.27,246.182,0,183.583,0,-16.914,133.129,187.63,-0.27476,-0.00345,9.94497358379684,9.231137,8.231757,3.344133,11.3141041805734,CCc1cccc(CC)c1
S4,9.14,1.72,9.6,341.784,6.585,274.248,-16.802,-26.293,238.934,284.99,-0.27422,-0.00323,14.7523979347998,14.540741,10.314613,6.117094,11.8657434270246,CCCCCCc1cccc(CCCCCC)c1
S13,7.58,3.81,06.05,221.027,-0.004,264.605,14.263,0,149.677,211.77,-0.30758,-0.03629,10.0180644192668,9.579745,8.818122,4.787755,15.7956823355263,FC(F)(F)C(F)(c1cccc(C(F)(C(F)(F)F)C(F)(F)F)c1)C(F)(F)F
S2,7.93,1.77,7.49,306.773,-16.461,268.206,5.498,-22.293,202.636,259.21,-0.2746,-0.00437,12.3252062745647,12.134833,9.349912,5.410155,12.759462880378,CC(C)CCc1cccc(CCC(C)C)c1
S9,6.84,1.86,4.44,224.456,0,164.649,0,-7.916,99.221,162.78,-0.2751,-0.00396,9.48690307218557,9.22826,6.450354,2.229484,9.93114040929543,Cc1cc(C)ccc1
S5,7.82,2.43,6.35,270.687,0.001,215.778,0,20.232,154.714,213.73,-0.27435,-0.00316,11.0910544983313,10.348844,10.214105,3.554377,11.5775204619773,CCCc1cccc(CCC)c1
S12,8.47,02.09,6.9,219.08,3.344,269.797,-14.54,17.381,150.891,213.26,-0.30558,-0.03457,11.3342537333604,10.61721,10.475027,3.604966,13.5412077737138,FC(F)(F)C(F)(F)C(F)(F)c1cccc(C(F)(F)C(F)(F)C(F)(F)F)c1
S11,7.91,1.71,3.23,224.093,0.187,139.133,-0.444,-0.203,87.739,150.32,-0.27296,-0.00208,10.1422232858064,10.092066,4.035209,1.730127,8.86213291218795,Cc1ccccc1
S21,11.15,02.09,3.23,343.594,-0.001,189.928,-0.001,-1.316,111.746,215.09,-0.2689,-0.01787,13.5441340000045,13.544134,4.186529,1.976382,9.28104543725724,c2cccc(c1ccccc1)c2
S24,10.73,02.05,6.71,389.885,14.634,258.609,4.34,-9.505,157.191,268.56,-0.25879,-0.01954,13.2404592165869,13.185351,7.626149,3.999595,12.2527680457912,c4ccc3c1ccccc1C2(CCCC2)c3c4
