,Unnamed: 0.1,reaction,starting electrophile SMILES,input electrophile SMILES,nucleophile SMILES,"3,3 Catalyst Substituent ",N Catalyst Substituent,solvent,Temperature (Celsius),Temperature (Kelvin),yield (%),ee (%),e.r. 1,e.r. 2,ddG,reference ,Link,Unnamed: 0,ster1,ster2,ster3,polarxx,polarxy,polaryy,polarzx,polaryz,polarzz,mean_polar,HOMO,LUMO,biggest distance,major_axis,Axis_2,Axis_3,Vbur75,old_name,smiles_e,L_e,Bmin_e,Bmax_e,bur_shell_e,bur_vol_e,max_distance_e,tot_V_e,disp_e,max_axis_e,A2_e,min_axis_e,smiles_n,L_n,Bmin_n,Bmax_n,bur_shell_n,bur_vol_n,max_distance_n,tot_V_n,disp_n,max_axis_n,A2_n,min_axis_n
0,0,1a,O=Cc2ccc1ccccc1c2,O=Cc2ccc1ccccc1c2,C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,92.0,92,96.0,4.0,1.23171164911491,"Angew. Chem. Int. Ed. 2016, 55, 13200–13203",https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.201607828,2naphth_idp_1_1_m062x,8.98,1.7,4.42,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,10.6941209998869,c2ccc1ccccc1c2,O=Cc2ccc1ccccc1c2,6.13289238,1.7,8.201993480018066,0.0,26.624143419526348,8.27387131732441,0.0020859851759767,2.8829618207243426,8.254617903786603,0.6522095384004406,5.686344227558743e-06,C=CC[Si](C)(C)C,6.25947703,1.7,5.571337446184442,0.0,29.833899858101905,7.092840855255554,137.19131243064325,3.45178502635984,6.970084598185735,0.6909295817944745,0.5863793607197972
1,1,1b,COc2ccc1cc(C=O)ccc1c2,COc2ccc1cc(C=O)ccc1c2,C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,80.0,88,94.0,6.0,1.06640676305151,"Angew. Chem. Int. Ed. 2016, 55, 13200–13204",,2naphth_idp_1_1_m062x,8.98,1.7,4.42,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,10.6941209998869,c2ccc1ccccc1c2,COc2ccc1cc(C=O)ccc1c2,9.302783,1.7,8.11356563048301,0.0,28.482110345010053,10.687602218573357,99.1894987064741,2.578423685428534,10.68593976680477,0.4928261434408772,0.1649429628743056,C=CC[Si](C)(C)C,6.25947703,1.7,5.571337446184442,0.0,29.833899858101905,7.092840855255554,137.19131243064325,3.45178502635984,6.970084598185735,0.6909295817944745,0.5863793607197972
2,2,1c,O=Cc2ccc1cc(Br)ccc1c2,O=Cc2ccc1cc(Br)ccc1c2,C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,57.0,86,93.0,7.0,1.00251775704442,"Angew. Chem. Int. Ed. 2016, 55, 13200–13205",,2naphth_idp_1_1_m062x,8.98,1.7,4.42,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,10.6941209998869,c2ccc1ccccc1c2,O=Cc2ccc1cc(Br)ccc1c2,8.32290662,1.7,8.400589000097202,0.0,26.46451030741209,9.152804378603369,0.0029482978113361,3.411795252495652,9.14381915177891,0.5804849354868041,6.643508771188e-06,C=CC[Si](C)(C)C,6.25947703,1.7,5.571337446184442,0.0,29.833899858101905,7.092840855255554,137.19131243064325,3.45178502635984,6.970084598185735,0.6909295817944745,0.5863793607197972
3,3,1d,O=Cc1ccccc1,O=Cc1ccccc1,C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,85.0,82,91.0,9.0,0.896690630869186,"Angew. Chem. Int. Ed. 2016, 55, 13200–13206",,2naphth_idp_1_1_m062x,8.98,1.7,4.42,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,10.6941209998869,c2ccc1ccccc1c2,O=Cc1ccccc1,6.18295774,1.7,5.776330850015673,0.0,26.40003007860124,6.049979860400621,0.001565167230753,3.018578205196376,6.049598424481061,0.7674992919313893,9.210922378253544e-06,C=CC[Si](C)(C)C,6.25947703,1.7,5.571337446184442,0.0,29.833899858101905,7.092840855255554,137.19131243064325,3.45178502635984,6.970084598185735,0.6909295817944745,0.5863793607197972
4,4,1e,O=Cc1ccccc1F,O=Cc1ccccc1F,C=CC[Si](C)(C)C,c1ccc3c(c1)CCc2ccccc23,NS(=O)(=O)C(F)(F)F,toluene,-60,213.15,82.0,84,92.0,8.0,1.03388433338965,"Angew. Chem. Int. Ed. 2016, 55, 13200–13207",,ph_9_10_dihydrophen_1_1_m062x,11.14,2.13,4.49,372.196,-4.834,206.116,-2.182,-5.202,135.761,238.02,-0.26081,-0.02053,13.5322582363439,13.5208,5.473468,3.227716,7.767809441097,c1ccc3c(c1)CCc2ccccc23,O=Cc1ccccc1F,6.21235743,1.7,5.731519770081585,0.0,28.923316435196305,6.08084380465008,0.0010000689721764,3.623734136240079,6.01944439850307,0.7980121519807861,5.745809548901403e-06,C=CC[Si](C)(C)C,6.25947703,1.7,5.571337446184442,0.0,29.833899858101905,7.092840855255554,137.19131243064325,3.45178502635984,6.970084598185735,0.6909295817944745,0.5863793607197972
5,5,1f,Cc1ccccc1C=O,Cc1ccccc1C=O,C=CC[Si](C)(C)C,c1ccc3c(c1)CCc2ccccc23,NS(=O)(=O)C(F)(F)F,toluene,-70,203.15,96.0,74,87.0,13.0,0.766953027860026,"Angew. Chem. Int. Ed. 2016, 55, 13200–13208",,ph_9_10_dihydrophen_1_1_m062x,11.14,2.13,4.49,372.196,-4.834,206.116,-2.182,-5.202,135.761,238.02,-0.26081,-0.02053,13.5322582363439,13.5208,5.473468,3.227716,7.767809441097,c1ccc3c(c1)CCc2ccccc23,Cc1ccccc1C=O,6.3821716,1.7,5.638177400129792,0.0,37.133471564063534,6.080658238963175,57.85496067183908,4.045849236177961,5.971084569974185,0.8951230815564202,0.3035974923159882,C=CC[Si](C)(C)C,6.25947703,1.7,5.571337446184442,0.0,29.833899858101905,7.092840855255554,137.19131243064325,3.45178502635984,6.970084598185735,0.6909295817944745,0.5863793607197972
6,6,1g,Cc1cccc(C=O)c1,Cc1cccc(C=O)c1,C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,99.0,81,90.5,9.5,0.873600545730249,"Angew. Chem. Int. Ed. 2016, 55, 13200–13209",,2naphth_idp_1_1_m062x,8.98,1.7,4.42,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,10.6941209998869,c2ccc1ccccc1c2,Cc1cccc(C=O)c1,6.28892234,1.7,6.846133700899866,0.0,31.04843707135566,6.723927323631088,60.01230340940676,2.843691432172515,6.310547740391954,0.8354455261774695,0.2858386741843515,C=CC[Si](C)(C)C,6.25947703,1.7,5.571337446184442,0.0,29.833899858101905,7.092840855255554,137.19131243064325,3.45178502635984,6.970084598185735,0.6909295817944745,0.5863793607197972
7,7,1h,Cc1ccc(C=O)cc1,Cc1ccc(C=O)cc1,C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,93.0,90,95.0,5.0,1.14117003183368,"Angew. Chem. Int. Ed. 2016, 55, 13200–13210",,2naphth_idp_1_1_m062x,8.98,1.7,4.42,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,10.6941209998869,c2ccc1ccccc1c2,Cc1ccc(C=O)cc1,6.16712215,1.7,6.975514568240587,0.0,31.10873449221356,7.080483467393042,54.10190887459303,3.004403153961405,6.973770800344896,0.6479859154773397,0.2461750376645952,C=CC[Si](C)(C)C,6.25947703,1.7,5.571337446184442,0.0,29.833899858101905,7.092840855255554,137.19131243064325,3.45178502635984,6.970084598185735,0.6909295817944745,0.5863793607197972
8,8,1i,CC(C)(C)c1ccc(C=O)cc1,CC(C)(C)c1ccc(C=O)cc1,C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,81.0,91,95.5,4.5,1.18403886746725,"Angew. Chem. Int. Ed. 2016, 55, 13200–13211",,2naphth_idp_1_1_m062x,8.98,1.7,4.42,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,10.6941209998869,c2ccc1ccccc1c2,CC(C)(C)c1ccc(C=O)cc1,7.2579415,1.7,8.191553325839429,0.0,42.37042669128696,8.344558939300944,146.00938346746958,2.79334706886596,8.133973004206663,0.55317472803818,0.4904675239019036,C=CC[Si](C)(C)C,6.25947703,1.7,5.571337446184442,0.0,29.833899858101905,7.092840855255554,137.19131243064325,3.45178502635984,6.970084598185735,0.6909295817944745,0.5863793607197972
9,9,1j,O=C/C=C/c1ccccc1,O=C/C=C/c1ccccc1,C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,92.0,85,92.5,7.5,0.973689014842612,"Angew. Chem. Int. Ed. 2016, 55, 13200–13212",,2naphth_idp_1_1_m062x,8.98,1.7,4.42,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,10.6941209998869,c2ccc1ccccc1c2,O=C/C=C/c1ccccc1,6.52728783,1.7,8.132209590014908,0.0,25.430318423797328,8.365528490220832,0.0012213408567586,1.8920979357579828,8.290363926066789,0.5338031760448263,4.015456688472979e-06,C=CC[Si](C)(C)C,6.25947703,1.7,5.571337446184442,0.0,29.833899858101905,7.092840855255554,137.19131243064325,3.45178502635984,6.970084598185735,0.6909295817944745,0.5863793607197972
