Unnamed: 0.1,reaction,starting electrophile SMILES,input electrophile SMILES,nucleophile SMILES,"3,3 Catalyst Substituent ",N Catalyst Substituent,solvent,Temperature (Celsius),Temperature (Kelvin),yield (%),ee (%),e.r. 1,e.r. 2,ddG,reference ,Link,Unnamed: 0,ster1,ster2,ster3,polarxx,polarxy,polaryy,polarzx,polaryz,polarzz,mean_polar,HOMO,LUMO,biggest distance,major_axis,Axis_2,Axis_3,Vbur75,old_name,smiles_e,L_e,Bmin_e,Bmax_e,bur_shell_e,bur_vol_e,max_distance_e,tot_V_e,disp_e,max_axis_e,A2_e,min_axis_e,smiles_n,L_n,Bmin_n,Bmax_n,bur_shell_n,bur_vol_n,max_distance_n,tot_V_n,disp_n,max_axis_n,A2_n,min_axis_n
0,1a,O=Cc2ccc1ccccc1c2,O=Cc2ccc1ccccc1c2,C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,92.0,92,96.0,4.0,1.23171164911491,"Angew. Chem. Int. Ed. 2016, 55, 13200–13203",https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.201607828,2naphth_idp_1_1_m062x,8.98,1.7,4.42,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,10.6941209998869,c2ccc1ccccc1c2,O=Cc2ccc1ccccc1c2,6.44258488,1.7,8.161663270000076,0.0,26.32108457809817,8.26052086840839,0.0012074466285258,2.808884922961803,8.242617730738488,0.6666005108859723,3.234497532255613e-06,C=CC[Si](C)(C)C,4.95720681,1.7,6.207877740004719,0.0,33.64535370702902,7.003162066315869,120.04975556423784,2.8996616723979924,6.909496504943798,0.7061550480289673,0.5153734095805903
1,1b,COc2ccc1cc(C=O)ccc1c2,COc2ccc1cc(C=O)ccc1c2,C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,80.0,88,94.0,6.0,1.06640676305151,"Angew. Chem. Int. Ed. 2016, 55, 13200–13204",,2naphth_idp_1_1_m062x,8.98,1.7,4.42,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,10.6941209998869,c2ccc1ccccc1c2,COc2ccc1cc(C=O)ccc1c2,8.493512990000001,1.7,8.933420880000217,0.0,28.62090164933136,10.34653673422178,102.10615537804291,9.660151964829204,10.312397036560627,0.531274636057575,0.1752483611379649,C=CC[Si](C)(C)C,4.95720681,1.7,6.207877740004719,0.0,33.64535370702902,7.003162066315869,120.04975556423784,2.8996616723979924,6.909496504943798,0.7061550480289673,0.5153734095805903
2,1c,O=Cc2ccc1cc(Br)ccc1c2,O=Cc2ccc1cc(Br)ccc1c2,C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,57.0,86,93.0,7.0,1.00251775704442,"Angew. Chem. Int. Ed. 2016, 55, 13200–13205",,2naphth_idp_1_1_m062x,8.98,1.7,4.42,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,10.6941209998869,c2ccc1ccccc1c2,O=Cc2ccc1cc(Br)ccc1c2,8.52162127,1.7,8.14902534000223,0.0,26.330330547784392,9.203688202156751,0.0010922416930086,8.824018576365793,9.192615372893997,0.587849683054437,2.3918569065049414e-06,C=CC[Si](C)(C)C,4.95720681,1.7,6.207877740004719,0.0,33.64535370702902,7.003162066315869,120.04975556423784,2.8996616723979924,6.909496504943798,0.7061550480289673,0.5153734095805903
3,1d,O=Cc1ccccc1,O=Cc1ccccc1,C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,85.0,82,91.0,9.0,0.896690630869186,"Angew. Chem. Int. Ed. 2016, 55, 13200–13206",,2naphth_idp_1_1_m062x,8.98,1.7,4.42,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,10.6941209998869,c2ccc1ccccc1c2,O=Cc1ccccc1,6.33602263,1.7,5.717013240029634,0.0,26.302516503172523,6.09643287621737,0.0012959532341257,3.0330183190974283,6.095939434237548,0.769040413761276,7.4390629971001235e-06,C=CC[Si](C)(C)C,4.95720681,1.7,6.207877740004719,0.0,33.64535370702902,7.003162066315869,120.04975556423784,2.8996616723979924,6.909496504943798,0.7061550480289673,0.5153734095805903
4,1e,O=Cc1ccccc1F,O=Cc1ccccc1F,C=CC[Si](C)(C)C,c1ccc3c(c1)CCc2ccccc23,NS(=O)(=O)C(F)(F)F,toluene,-60,213.15,82.0,84,92.0,8.0,1.03388433338965,"Angew. Chem. Int. Ed. 2016, 55, 13200–13207",,ph_9_10_dihydrophen_1_1_m062x,11.14,2.13,4.49,372.196,-4.834,206.116,-2.182,-5.202,135.761,238.02,-0.26081,-0.02053,13.5322582363439,13.5208,5.473468,3.227716,7.767809441097,c1ccc3c(c1)CCc2ccccc23,O=Cc1ccccc1F,6.41682163,1.7,5.7043532700002,0.0,28.251186955913266,6.139388256470853,0.0012535396884249,1.904300306490692,6.077546492909319,0.7979005139411832,6.998492062318911e-06,C=CC[Si](C)(C)C,4.95720681,1.7,6.207877740004719,0.0,33.64535370702902,7.003162066315869,120.04975556423784,2.8996616723979924,6.909496504943798,0.7061550480289673,0.5153734095805903
5,1f,Cc1ccccc1C=O,Cc1ccccc1C=O,C=CC[Si](C)(C)C,c1ccc3c(c1)CCc2ccccc23,NS(=O)(=O)C(F)(F)F,toluene,-70,203.15,96.0,74,87.0,13.0,0.766953027860026,"Angew. Chem. Int. Ed. 2016, 55, 13200–13208",,ph_9_10_dihydrophen_1_1_m062x,11.14,2.13,4.49,372.196,-4.834,206.116,-2.182,-5.202,135.761,238.02,-0.26081,-0.02053,13.5322582363439,13.5208,5.473468,3.227716,7.767809441097,c1ccc3c(c1)CCc2ccccc23,Cc1ccccc1C=O,6.48382319,1.7,5.728803693539111,0.0,36.23822583149354,6.185792126817264,59.844469354894336,6.190348950796454,6.1077637603116255,0.8938050195406859,0.2938559837923424,C=CC[Si](C)(C)C,4.95720681,1.7,6.207877740004719,0.0,33.64535370702902,7.003162066315869,120.04975556423784,2.8996616723979924,6.909496504943798,0.7061550480289673,0.5153734095805903
6,1g,Cc1cccc(C=O)c1,Cc1cccc(C=O)c1,C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,99.0,81,90.5,9.5,0.873600545730249,"Angew. Chem. Int. Ed. 2016, 55, 13200–13209",,2naphth_idp_1_1_m062x,8.98,1.7,4.42,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,10.6941209998869,c2ccc1ccccc1c2,Cc1cccc(C=O)c1,7.372435390000001,1.7,5.71421143071247,0.0,31.10614928099879,6.894239721420479,53.82969263505113,3.707391730455838,6.856834800028397,0.7386013309850221,0.2260688657591851,C=CC[Si](C)(C)C,4.95720681,1.7,6.207877740004719,0.0,33.64535370702902,7.003162066315869,120.04975556423784,2.8996616723979924,6.909496504943798,0.7061550480289673,0.5153734095805903
7,1h,Cc1ccc(C=O)cc1,Cc1ccc(C=O)cc1,C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,93.0,90,95.0,5.0,1.14117003183368,"Angew. Chem. Int. Ed. 2016, 55, 13200–13210",,2naphth_idp_1_1_m062x,8.98,1.7,4.42,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,10.6941209998869,c2ccc1ccccc1c2,Cc1ccc(C=O)cc1,6.38468611,1.7,6.791695113562231,0.0,31.1115598182736,7.115754439670086,49.67882915540869,6.295203358149335,7.013034096895485,0.6524478706193916,0.2207535429273268,C=CC[Si](C)(C)C,4.95720681,1.7,6.207877740004719,0.0,33.64535370702902,7.003162066315869,120.04975556423784,2.8996616723979924,6.909496504943798,0.7061550480289673,0.5153734095805903
8,1i,CC(C)(C)c1ccc(C=O)cc1,CC(C)(C)c1ccc(C=O)cc1,C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,81.0,91,95.5,4.5,1.18403886746725,"Angew. Chem. Int. Ed. 2016, 55, 13200–13211",,2naphth_idp_1_1_m062x,8.98,1.7,4.42,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,10.6941209998869,c2ccc1ccccc1c2,CC(C)(C)c1ccc(C=O)cc1,7.07985816,1.7,8.185204740899675,0.0,42.33277399859354,8.399792880771738,160.75809131727684,2.965076837392801,8.21474274388924,0.5482800522019659,0.5289181781812762,C=CC[Si](C)(C)C,4.95720681,1.7,6.207877740004719,0.0,33.64535370702902,7.003162066315869,120.04975556423784,2.8996616723979924,6.909496504943798,0.7061550480289673,0.5153734095805903
9,1j,O=C/C=C/c1ccccc1,O=C/C=C/c1ccccc1,C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,92.0,85,92.5,7.5,0.973689014842612,"Angew. Chem. Int. Ed. 2016, 55, 13200–13212",,2naphth_idp_1_1_m062x,8.98,1.7,4.42,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,10.6941209998869,c2ccc1ccccc1c2,O=C/C=C/c1ccccc1,8.67060379,1.7,6.911160552034368,0.0,22.76335138025533,8.629638138624406,0.0189448386148944,2.233204329013597,8.628224261162398,0.5483389697440585,5.378702509328126e-05,C=CC[Si](C)(C)C,4.95720681,1.7,6.207877740004719,0.0,33.64535370702902,7.003162066315869,120.04975556423784,2.8996616723979924,6.909496504943798,0.7061550480289673,0.5153734095805903
