Unnamed: 0.1,reaction,starting electrophile SMILES,input electrophile SMILES,nucleophile SMILES,"3,3 Catalyst Substituent ",N Catalyst Substituent,solvent,Temperature (Celsius),Temperature (Kelvin),yield (%),ee (%),e.r. 1,e.r. 2,ddG,reference ,Link,Unnamed: 0,ster1,ster2,ster3,polarxx,polarxy,polaryy,polarzx,polaryz,polarzz,mean_polar,HOMO,LUMO,biggest distance,major_axis,Axis_2,Axis_3,Vbur75,old_name,smiles_e,L_e,Bmin_e,Bmax_e,bur_shell_e,bur_vol_e,max_distance_e,tot_V_e,disp_e,max_axis_e,A2_e,min_axis_e,smiles_n,L_n,Bmin_n,Bmax_n,bur_shell_n,bur_vol_n,max_distance_n,tot_V_n,disp_n,max_axis_n,A2_n,min_axis_n
0,1a,O=Cc2ccc1ccccc1c2,O=Cc2ccc1ccccc1c2,C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,92.0,92,96.0,4.0,1.23171164911491,"Angew. Chem. Int. Ed. 2016, 55, 13200–13203",https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.201607828,2naphth_idp_1_1_m062x,8.98,1.7,4.42,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,10.6941209998869,c2ccc1ccccc1c2,O=Cc2ccc1ccccc1c2,6.4425896,1.7,8.161667620004593,0.0,26.32157194757018,8.26052780073448,0.0009085317592066,2.9413198237665514,8.242623618877559,0.6666003974569809,2.433762177197623e-06,C=CC[Si](C)(C)C,6.16963715999642,1.7000000000000008,5.437510319695459,0.0,29.089383685643885,7.204464414493772,135.07500099085652,3.24400908399928,7.051193889479687,0.6776785417525614,0.5685429449776626
1,1b,COc2ccc1cc(C=O)ccc1c2,COc2ccc1cc(C=O)ccc1c2,C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,80.0,88,94.0,6.0,1.06640676305151,"Angew. Chem. Int. Ed. 2016, 55, 13200–13204",,2naphth_idp_1_1_m062x,8.98,1.7,4.42,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,10.6941209998869,c2ccc1ccccc1c2,COc2ccc1cc(C=O)ccc1c2,8.49351311,1.7,8.933423600027131,0.0,28.62127018431152,10.346539580767963,102.10615904600192,9.418996436495808,10.31240015155304,0.5312744404235961,0.1752482731579928,C=CC[Si](C)(C)C,6.16963715999642,1.7000000000000008,5.437510319695459,0.0,29.089383685643885,7.204464414493772,135.07500099085652,3.24400908399928,7.051193889479687,0.6776785417525614,0.5685429449776626
2,1c,O=Cc2ccc1cc(Br)ccc1c2,O=Cc2ccc1cc(Br)ccc1c2,C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,57.0,86,93.0,7.0,1.00251775704442,"Angew. Chem. Int. Ed. 2016, 55, 13200–13205",,2naphth_idp_1_1_m062x,8.98,1.7,4.42,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,10.6941209998869,c2ccc1ccccc1c2,O=Cc2ccc1cc(Br)ccc1c2,8.52164239,1.7,8.14900780001052,0.0,26.330330547784392,9.203691509718178,0.0005827108763076,8.824019013752135,9.19261838770684,0.5878488207101663,1.276056129512214e-06,C=CC[Si](C)(C)C,6.16963715999642,1.7000000000000008,5.437510319695459,0.0,29.089383685643885,7.204464414493772,135.07500099085652,3.24400908399928,7.051193889479687,0.6776785417525614,0.5685429449776626
3,1d,O=Cc1ccccc1,O=Cc1ccccc1,C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,85.0,82,91.0,9.0,0.896690630869186,"Angew. Chem. Int. Ed. 2016, 55, 13200–13206",,2naphth_idp_1_1_m062x,8.98,1.7,4.42,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,10.6941209998869,c2ccc1ccccc1c2,O=Cc1ccccc1,6.33601596,1.7,5.717016250001086,0.0,26.302377250582943,6.096431217140619,0.0010784466548199,2.110482295912932,6.095937713530976,0.769040198748451,6.190533292135852e-06,C=CC[Si](C)(C)C,6.16963715999642,1.7000000000000008,5.437510319695459,0.0,29.089383685643885,7.204464414493772,135.07500099085652,3.24400908399928,7.051193889479687,0.6776785417525614,0.5685429449776626
4,1e,O=Cc1ccccc1F,O=Cc1ccccc1F,C=CC[Si](C)(C)C,c1ccc3c(c1)CCc2ccccc23,NS(=O)(=O)C(F)(F)F,toluene,-60,213.15,82.0,84,92.0,8.0,1.03388433338965,"Angew. Chem. Int. Ed. 2016, 55, 13200–13207",,ph_9_10_dihydrophen_1_1_m062x,11.14,2.13,4.49,372.196,-4.834,206.116,-2.182,-5.202,135.761,238.02,-0.26081,-0.02053,13.5322582363439,13.5208,5.473468,3.227716,7.767809441097,c1ccc3c(c1)CCc2ccccc23,O=Cc1ccccc1F,6.32046912,1.7,5.721805050000571,0.0,26.686018134864742,6.093269112208443,0.0002202697192503,2.484949992540468,6.092787127038415,0.7989308183472221,1.218982889889692e-06,C=CC[Si](C)(C)C,6.16963715999642,1.7000000000000008,5.437510319695459,0.0,29.089383685643885,7.204464414493772,135.07500099085652,3.24400908399928,7.051193889479687,0.6776785417525614,0.5685429449776626
5,1f,Cc1ccccc1C=O,Cc1ccccc1C=O,C=CC[Si](C)(C)C,c1ccc3c(c1)CCc2ccccc23,NS(=O)(=O)C(F)(F)F,toluene,-70,203.15,96.0,74,87.0,13.0,0.766953027860026,"Angew. Chem. Int. Ed. 2016, 55, 13200–13208",,ph_9_10_dihydrophen_1_1_m062x,11.14,2.13,4.49,372.196,-4.834,206.116,-2.182,-5.202,135.761,238.02,-0.26081,-0.02053,13.5322582363439,13.5208,5.473468,3.227716,7.767809441097,c1ccc3c(c1)CCc2ccccc23,Cc1ccccc1C=O,6.38932265,1.9511955380023407,5.710120180065066,0.0,34.48292667983034,6.0795696575038685,63.23112147845489,3.360748098125486,6.079523101795582,0.9555657523476582,0.2944840445040563,C=CC[Si](C)(C)C,6.16963715999642,1.7000000000000008,5.437510319695459,0.0,29.089383685643885,7.204464414493772,135.07500099085652,3.24400908399928,7.051193889479687,0.6776785417525614,0.5685429449776626
6,1g,Cc1cccc(C=O)c1,Cc1cccc(C=O)c1,C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,99.0,81,90.5,9.5,0.873600545730249,"Angew. Chem. Int. Ed. 2016, 55, 13200–13209",,2naphth_idp_1_1_m062x,8.98,1.7,4.42,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,10.6941209998869,c2ccc1ccccc1c2,Cc1cccc(C=O)c1,7.37243122,1.7,5.714210874144127,0.0,31.106067304646302,6.894243926458693,53.83002140152174,6.583867972488211,6.8568409337649605,0.7386001017344577,0.2260700160409348,C=CC[Si](C)(C)C,6.16963715999642,1.7000000000000008,5.437510319695459,0.0,29.089383685643885,7.204464414493772,135.07500099085652,3.24400908399928,7.051193889479687,0.6776785417525614,0.5685429449776626
7,1h,Cc1ccc(C=O)cc1,Cc1ccc(C=O)cc1,C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,93.0,90,95.0,5.0,1.14117003183368,"Angew. Chem. Int. Ed. 2016, 55, 13200–13210",,2naphth_idp_1_1_m062x,8.98,1.7,4.42,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,10.6941209998869,c2ccc1ccccc1c2,Cc1ccc(C=O)cc1,6.38471559,1.7,6.791688083565656,0.0,31.11165884749765,7.115768031838977,49.68109028985159,2.997029873396493,7.013046998957119,0.6524465069716875,0.2207628335120123,C=CC[Si](C)(C)C,6.16963715999642,1.7000000000000008,5.437510319695459,0.0,29.089383685643885,7.204464414493772,135.07500099085652,3.24400908399928,7.051193889479687,0.6776785417525614,0.5685429449776626
8,1i,CC(C)(C)c1ccc(C=O)cc1,CC(C)(C)c1ccc(C=O)cc1,C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,81.0,91,95.5,4.5,1.18403886746725,"Angew. Chem. Int. Ed. 2016, 55, 13200–13211",,2naphth_idp_1_1_m062x,8.98,1.7,4.42,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,10.6941209998869,c2ccc1ccccc1c2,CC(C)(C)c1ccc(C=O)cc1,7.07978439,1.7,8.185196880005284,0.0,42.38121895483542,8.399782032724602,160.75793017978728,2.965066463974184,8.214737466182111,0.5482802846377018,0.528918443226044,C=CC[Si](C)(C)C,6.16963715999642,1.7000000000000008,5.437510319695459,0.0,29.089383685643885,7.204464414493772,135.07500099085652,3.24400908399928,7.051193889479687,0.6776785417525614,0.5685429449776626
9,1j,O=C/C=C/c1ccccc1,O=C/C=C/c1ccccc1,C=CC[Si](C)(C)C,c2ccc1ccccc1c2,NS(=O)(=O)C(F)(F)F,toluene,-78,195.15,92.0,85,92.5,7.5,0.973689014842612,"Angew. Chem. Int. Ed. 2016, 55, 13200–13212",,2naphth_idp_1_1_m062x,8.98,1.7,4.42,296.137,6.544,173.487,0.484,2.244,100.17,189.93,-0.26066,-0.02697,11.4272056086503,11.407403,5.399177,2.120202,10.6941209998869,c2ccc1ccccc1c2,O=C/C=C/c1ccccc1,6.304114420000004,1.700000000000001,8.37465429000003,0.0,25.545788438441072,8.458880855138304,0.0380237766470084,1.9449284961543032,8.376795910715796,0.5297980056045237,0.0001220987245832,C=CC[Si](C)(C)C,6.16963715999642,1.7000000000000008,5.437510319695459,0.0,29.089383685643885,7.204464414493772,135.07500099085652,3.24400908399928,7.051193889479687,0.6776785417525614,0.5685429449776626
