smiles,L,Bmin,Bmax,bur_shell,bur_vol,max_distance,tot_V,disp,max_axis,A2,min_axis
C=CC[Si](C)(C)C,4.95720681,1.7,6.207877740004719,0.0,33.64535370702902,7.003162066315869,120.04975556423784,2.8996616723979924,6.909496504943798,0.7061550480289673,0.5153734095805903
C=C(OC)O[Si](C)(C)C(C)(C)C,7.17645756,2.901430841939227,6.46952247813686,0.0,33.4976484144639,8.871559109190127,220.56239706780408,3.9185209076490546,8.822137124556564,0.5796488941532326,0.5541726009415842
C=C(OCc1ccccc1)O[Si](C)(C)C(C)(C)C,6.6978756399999995,3.0886152740566066,7.3263804351995825,0.0,34.57717487187592,11.719419266097194,350.54060731216293,6.8175450225815935,11.412273199190963,0.5779559537670235,0.4080629018736254
C=C(OC1CCCCC1)O[Si](C)(C)C(C)(C)C,7.17718161,3.2692276522522814,7.432860599161054,0.0,35.61047746226072,11.967550200018291,333.34401837294786,7.412443366197587,11.952737944078162,0.4933210327523205,0.3956952531884277
C=C(O[Si](C)(C)C(C)(C)C)c1ccccc1,6.47361236,2.6600702039609487,6.751088281195934,0.0,37.99996936547545,10.20299156226856,251.767578346403,5.442303750371764,10.081779626591022,0.5682356921953079,0.43237412177339063
C=C(/C=C/c1ccccc1)O[Si](C)(C)C(C)(C)C,8.21480309,2.470980367606768,7.038457775945642,0.0,36.59574645845706,11.56250644560783,429.4458483029149,8.816259268398053,11.548178797620615,0.62839562888152,0.4437463104254289
C=C/C=C(OC(C)C)\O[Si](C)(C)C(C)(C)C,9.63839376,2.856323034074072,6.792138137952895,0.0,26.136346229632384,9.485439876330341,409.13776270426087,3.982136630433485,8.935909849596293,0.9013051698581903,0.6361819861027397
C=C1C=C(O[Si](C)(C)C)OC(C)(C)O1,8.72445959,2.9244599140867056,6.03648778592169,0.0,30.575425863598326,9.576805993024378,283.3317786800492,8.579967959193386,9.508412469310697,0.6500279180779347,0.5070365183772271
CC/C=C(C)/C(=O)/C=C/C(C)C,8.42627906,2.9039805864309995,5.505669371848175,0.0,29.77830260604622,11.42619656874955,150.52788151145398,7.270606660691487,11.377202441810002,0.3711757345353582,0.27537906141900004
CC/C=C(C)/C(=O)/C=C/CCC,8.1416442,2.930459496450207,4.521496519960533,0.0,29.861914728585013,11.644877836786023,158.75800139257854,5.820505494138581,11.392856761830465,0.4114705148231486,0.2609149663503802
CC/C=C(C)/C(=O)/C=C/CC(C)C,8.60842454,2.66159460509687,7.61767868177552,0.0,29.781523487269464,12.385192884682176,194.9678185455114,5.1849456990873986,12.317671251888175,0.3698942169510343,0.28203276432856084
CC/C=C(C)/C(=O)/C=C/C(CC)CC,8.7115299,2.1494035156264353,7.674001778921225,0.0,28.78720998560197,11.296958429865839,234.97701013975018,4.6155383847275075,11.131370137274203,0.5486068957413142,0.31054049378217846
CC/C=C(C)/C(=O)/C=C/C1CC1,8.5218651,2.68028506871791,5.0424454693713425,0.0,28.790955999128297,11.417077811028403,153.5178386832095,7.158636071931426,11.363614407533259,0.356562162721916,0.29340946940754964
CC/C=C(C)/C(=O)/C=C/C1CCC1,9.27465051,2.47379769,6.178357611393969,0.0,29.78085215266198,12.033728800577881,148.12683961843092,4.700197169171889,12.01774351550056,0.3324498140334841,0.25670768464341115
CC/C=C(C)/C(=O)/C=C/C1CCCC1,8.109471000000001,2.368716981545825,5.595306873209587,0.0,29.84850795056509,11.096363872233223,210.98342955140444,6.270727431033871,10.773904470714317,0.4798862242194286,0.3515529147634253
